Хөтөлбөрийн_дугаар,Хөтөлбөрийн_индекс,Хөтөлбөрийн_монгол_нэр,Хөтөлбөрийн_англи_нэр,Академик_түвшин,Суралцах_хэлбэр,Харьяалах_нэгжийн_дугаар,Харьяалах_нэгжийн_нэр,Батлагдсан_он
0863316f683923472b1e559622293e3b,E 07310301,Хот ба бүс нутгийн төлөвлөлт,Urban and regional planning,Магистр,Өдрийн сургалт,58b5e95b313a0d1c140d3f809c8529ce,Газарзүйн тэнхим,2014
150459765cdc41ce57d76c21f67022ff,E 08110201,Хөрс судлал,"   ",Магистр,Бэлтгэл,58b5e95b313a0d1c140d3f809c8529ce,Газарзүйн тэнхим,2017
e2e37c2b10766d5a17d6859009c3cffe,E 08110201,Хөрс судлал,Soil science,Магистр,Өдрийн сургалт,58b5e95b313a0d1c140d3f809c8529ce,Газарзүйн тэнхим,2014
fb94a20305c5308d13d5dedb1da488e6,"D 053203  ",Геологи,Geology,Бакалавр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
e8fe3639ff4abe14a6295329d353771d,F 05320301,Геологи,Geology,Доктор,Бэлтгэл,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2016
897b7612f047982d29f49aa0a60d8210,F 05320301,Геологи,Geology,Доктор,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
400371d77f0088b03159f4663df54f66,F 05320301,Геологи,Geology,Доктор,Экстернат,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2019
7987562f65b81840970bae25d61f5750,F 05320301,Геологи,Geology,Доктор,Эчнээ,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
a99a8462832660e59aa4a17778ed04b6,E 05320301,Геологи (Геологи эрдэс баялгийн удирдлага),Geology (Geology and mineral resource management),Магистр,Бэлтгэл,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
a7e7b329bbe66d9055bbd677e9db431b,E 05320301,Геологи (Геологи эрдэс баялгийн удирдлага),Geology (Geology and mineral resource management),Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
551b56044af3e3115d66fad504f9f3b8,E 05320301,Геологи (Геологи эрдэс баялгийн удирдлага),Geology (Geology and mineral resource management),Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
6d615b021decc12bef94457482d7eab5,E 05320301,Геологи (Геологи эрэл хайгуул),Geology (Geological prospecting and exploration),Магистр,Бэлтгэл,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
32830c3d7686081b96bd1f213f26de50,E 05320301,Геологи (Геологи эрэл хайгуул),Geology (Geological prospecting and exploration),Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
fbf72c7f944a2c6e9cd7b9fb4e436b49,E 05320301,Геологи (Геологи эрэл хайгуул),Geology (Geological prospecting and exploration),Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
7deca002dfaf34946432ac79135d911c,E 05320301,Геологи (Шатах ашигт малтмалын геологи),Geology (Geology of fossil fuel),Магистр,Бэлтгэл,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
cd855e796872223800d34b9263de7392,E 05320301,Геологи (Шатах ашигт малтмалын геологи),Geology (Geology of fossil fuel),Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
f12735efab5907266bfa097604bb0f8e,E 05320301,Геологи (Шатах ашигт малтмалын геологи),Geology (Geology of fossil fuel),Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
237d08e0ad61fde7c95f7a12d63001b3,"D 053205  ",Геофизик,Geophysics,Бакалавр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
eeaa1d3ebcb6dbd95ed351d8037ac763,F 05320501,Геофизик,Geophysics,Доктор,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
3a718357911af92c72807234b7529ec4,F 05320501,Геофизик,Geophysics,Доктор,Эчнээ,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
1b99389ce53380c9ebc5b306e62004cb,Е 05320501,Геофизик," ",Магистр,Бэлтгэл,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2016
28ebcf26320548b9a4f737c0568b60d4,Е 05320501,Геофизик,Geophysics,Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
0b3737eb5b971cec9a783c1c09967e4c,E 05320501,Геофизик,Geophysics,Магистр,Өдрийн сургалт,b7f162eb22ba29a68e6f732d66d5c2ee,"Геологи, геофизикийн тэнхим",2014
d189489acf2c1dff327a931d7174f222,"D 011409  ","Багш, гадаад хэлний боловсрол (Орос)",Teacher training-Russian,Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2016
7f552057497809bc34d146c4d33d1d20,"D 023102  ","Гадаад хэл, орон судлал (Испани)",Spanish language and Spanish studies,Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2017
2ba80e5d31ad6e5e7b9dbd7d6b35f5b7,"D 023102  ","Гадаад хэл, орон судлал (Итали)",Italian language and Italian studies,Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2017
b7497923e2b5a03e3d3d7a5026a00c57,"D 023102  ","Гадаад хэл, орон судлал (Польш)",Polish language and Polish studies,Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2017
9382feef53a0605ec59f79a2cb2bab94,"D 023102  ","Гадаад хэл, орон судлал (Франц)",French language and French studies,Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2017
d8bd93fc5c5e48cae665cf51ba11d743,"D 023102  ","Гадаад хэл, орон судлал (Чех)",Czech language and Czech studies,Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2017
7701e9e7a7f95ef09cb22da3d02d3eba,"D 023101  ",Гадаад хэлний орчуулга (Герман),Translation (German Language),Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2018
58eba97a62aa90d3fa8d08c32fe199bb,"D 023101  ",Гадаад хэлний орчуулга (Орос),Translation (Russian Language),Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
3c2ea965e0296fcf5931af68c6038044,"D 023101  ",Гадаад хэлний орчуулга (Франц),Translation (French language),Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2018
091f0b66741d03f3e3f2bee9f227b06d,E 02220301,Олон улс орон судлал,International and Area studies,Магистр,Бэлтгэл,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
328a5c708eeab521de7c670d37706f06,F 02220301,"Олон улс, орон судлал",International and Area studies,Доктор,Бэлтгэл,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
0a01bcae65fa107a22769c06783e823b,F 02220301,"Олон улс, орон судлал",International and Area studies,Доктор,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
d8948bcd5c2b3b626dcc36fe83ab351c,F 02220301,"Олон улс, орон судлал",International and Area studies,Доктор,Эчнээ,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
f89b0ac312807c19df0bf7a3a60e54d3,E 02220301,"Олон улс, орон судлал",International and area studies,Магистр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
6ebc11a663368ef86d689bea3c52e6cf,E 02220301,"Олон улс, орон судлал",International and area studies,Магистр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
916a271820e2bbbd7cee53c31c622262,"11111     ",Орос хэлний бэлтгэл,"   ",Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2018
f246682080c6e581eb51994638e5628c,"D 023202  ",Хэл шинжлэл (Герман),"German Language, Linguistics",Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
6ec6a9cf3ba519ad9109c7375f17b6f1,"D 023202  ",Хэл шинжлэл (Орос),"Russian Language, Linguistics",Бакалавр,Өдрийн сургалт,6ed39561d2b0c87b817045c8d23acc4a,Европ судлалын тэнхим,2014
433d0c3143c34a3cd95a5f75e9453098,"D 011409  ","Багш, гадаад хэлний боловсрол (Англи)","Teacher training-English ",Бакалавр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2014
64d9ffcd44f76d012011b777fa4b3add,"D 011409  ","Багш, гадаад хэлний боловсрол /Англи/","    ",Бакалавр,Оройгоор,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2017
6f1b5ccc22ec3298fe0a11530c3c9690,"D 023102  ","Гадаад хэл, орон судлал (Америк)",English language and American studies,Бакалавр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2017
6ef844af73e4a38c20b66b4c565da4e3,"D 023102  ","Гадаад хэл, орон судлал (Их Британи)",English language and British studies,Бакалавр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2017
08c2bcbe9669e48adc433f3e4a7a27f4,Е 01140901,Гадаад хэлний боловсрол,Foreign language education,Магистр,Бэлтгэл,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2016
38f9fecb3d7852b3336522a4fa497306,E 01140901,Гадаад хэлний боловсрол,Foreign language education,Магистр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2014
5e920ce1c17719be140dc92e57f46b8a,E 01140901,Гадаад хэлний боловсрол,Foreign language education,Магистр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2014
7142e350462c2df4058ba4895702edb5,"D 023101  ",Гадаад хэлний орчуулга (Англи),Translation (English Language),Бакалавр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2014
de0164bd6f2888a51e95437e98b56400,"D 023201  ","Хэл, уран зохиол (Англи хэл)",Language and Literature (English),Бакалавр,Өдрийн сургалт,1bd938390e3a5fc0c195c6ca6420313a,"Их Британи, Америк судлалын тэнхим",2014
208011414224226dfd90660c013590d8,"D 011401  ","Багш, математикийн боловсрол",Teacher training - Mathematics,Бакалавр,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
27e0391e1fa7deca43180700e24dadb3,"D 054101  ",Математик,Mathematics,Бакалавр,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
74ad24fa372969eb0651b60eb66a091f,F 05410102,Математик,Mathematics,Доктор,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
968e5678e0a0713df6f5f78171d89f02,F 05410102,Математик,Mathematics,Доктор,Эчнээ,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
de5f8236483724f8e80b1f756763ffcd,Е 05410101,Математик,Mathematics,Магистр,Бэлтгэл,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2016
2b6c8be84f43b067d66d0e06a9e8dd98,E 05410101,Математик,Mathematics,Магистр,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
d4cdf68d40a63c11d87a703a104e9cd5,E 05410101,Математик,Mathematics,Магистр,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
2467aae22e44074dd289e9ef729c538d,E 01140101,Математикийн боловсрол,"Mathematics Education    ",Магистр,Бэлтгэл,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2016
631ceb03226438fc7823db42ae1b7341,E 01140101,Математикийн боловсрол,"Mathematics education ",Магистр,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
85318b8944dc5ab88e966d8720bed02c,E 01140101,Математикийн боловсрол,"Mathematics education   ",Магистр,Өдрийн сургалт,c38b93674cf1286afa59d931cd34cb50,Математикийн тэнхим,2014
e50679c3f4caed5a81cbd7701df68b95,"D 011407  ","Багш, монгол хэл уран зохиолын боловсрол",Teacher training-Mongolian language and literature,Бакалавр,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2014
71a134939fcbd05527ba959db316afb6,"132       ",Монгол хэлний бэлтгэл анхан шат,Mongolian Language Program (Elementary),Хэлний бэлтгэл,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2010
13b9bb9e8057c814f20d11fe073ed93d,"1         ",Монгол хэлний бэлтгэл гүнзгий шат,Mongolian Language Program (Advance),Хэлний бэлтгэл,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2010
524a7f1f7f83ac91ffd14638b9ef936f,"1         ",Монгол хэлний бэлтгэл дунд шат,Mongolian Language Program (Intermediate),Хэлний бэлтгэл,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2010
3d078755fbb6e1acc8cd1b5b315fa540,F 02320201,Хэл шинжлэл,"Linguistics ",Доктор,Бэлтгэл,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2014
022e5aafc929c7e2a81c56fa7121be66,F 02320201,Хэл шинжлэл,Linguistics,Доктор,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2014
63d65ea85e0be363ffada20eadeb792c,F 02320201,Хэл шинжлэл,Linguistics,Доктор,Эчнээ,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2015
9e9219017d6bfcf1da74086a3b50f62e,E 02320201,Хэл шинжлэл,Linguistics,Магистр,Бэлтгэл,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2016
072b540520d4298734a94f99d8f2b490,E 02320201,Хэл шинжлэл,Linguistics (Mongolian),Магистр,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2014
162b2751997983badec65b899ecea6ba,E 02320201,Хэл шинжлэл,Linguistics (Mongolian),Магистр,Өдрийн сургалт,95a485b3b976ad8389524ac2ac642520,"Монгол хэл, хэл шинжлэлийн тэнхим",2014
